priority,status,dataset_name,year,record_count_or_scope,sequence_availability,titer_or_expression_label,unit_or_scale,machine_readable,license_or_reuse,source_url,notes
S,direct_relative_expression,"Overath et al. integrated VHH discovery dataset",2026,"175 unique VHHs with expression; 62 selected + 129 variants with 16 overlaps","Full-length VHH AA sequence in combined_data.xlsx","Split-luciferase relative expression; raw and log values","assay-specific relative units",yes,"License not clearly visible on record page; verify before redistribution",https://zenodo.org/records/18290348,"Largest directly downloadable sequence-expression VHH set found; not absolute titer"
A,curation_absolute,"US 8,372,398 anti-vWF VHH patent",2013,"Approximately 34 construct/condition measurements across monomeric bivalent humanized and tagged forms","Sequence tables/listings in patent","Production yield","mg/L",html_tables,"Public patent document; dataset reuse and patent rights require separate review",https://www.freepatentsonline.com/8372398.html,"Richest absolute-yield source found; manual normalization required"
A,curation_absolute,"Soler et al. framework/CDR engineered VHH panel",2016,"16 constructs","Representative sequences and mutation definitions in article","Purified production yield","mg/L",article_table,"CC BY 4.0",https://pmc.ncbi.nlm.nih.gov/articles/PMC5056509/,"Range 0-5 mg/L; reconstruct variant sequences carefully"
A,curation_absolute,"Ramon et al. Improving production and stability of nanobodies",2025,"8 parent/optimized constructs in main table plus individual mutation series","Supplementary Figure S2 and Tables S1-S2","Production yield in main table; additional cell-free expression assay","mg/L for main table",supplementary_files,"Check article license and supplementary terms",https://pmc.ncbi.nlm.nih.gov/articles/PMC12510460/,"Main-table range 0-19 mg/L; keep cell-free data as separate assay"
A,curation_absolute,"CDR1 Composition Can Affect Nanobody Recombinant Expression Yields",2021,"5 sequence variants","Full AA sequences in article table","Recombinant expression yield","mg/L",article_table,"CC BY 4.0",https://pmc.ncbi.nlm.nih.gov/articles/PMC8465892/,"Same-scaffold comparison; range 1.2-12.8 mg/L"
A,curation_absolute,"Bivalent single-domain antibody constructs against VEEV",2022,"8 monomeric sdAbs plus codon-optimized and bivalent constructs","Full AA sequences in Figure 1","Expression yield","mg/L",article_figure_table,"CC BY 4.0",https://www.nature.com/articles/s41598-021-04434-x,"Eight main monomers range 3.2-19.6 mg/L; store format separately"
A,curation_absolute,"Stabilization of anti-CHIKV CC3 sdAb",2021,"11 main constructs plus C-terminal cysteine forms","AA sequence/alignment in Figure 2","Expression yield","mg/L",article_figure_table,"CC BY",https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2021.626028/full,"Main constructs range 3.4-28 mg/L; cysteine forms reported only as a range"
A,curation_absolute,"Anti-TIGIT nanobodies",2023,"9 nanobodies","Sequences in Supplementary Figure 1","Expression yield","mg/L",supplementary_plus_table,"CC BY",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1268900/full,"Range 0.75-15.1 mg/L"
B,curation_absolute,"Anti-SEB nanobodies",2023,"12 sequences; 9 numeric yields and 3 qualitative poor/insoluble outcomes","Alignment and supplementary information","Expression yield or qualitative expression","mg/L plus categorical",article_table,"CC BY",https://www.mdpi.com/2072-6651/15/6/400,"Numeric range 0.32-78 mg/L"
B,curation_absolute,"Anti-CRP nanobodies",2022,"8 displayed candidates; 6 numeric values","Best eight full sequences in Figure 1","Expression yield or not-produced outcome","mg/L plus categorical",pdf_figure_table,"CC BY",https://d-nb.info/1256840262/34,"Numeric range 0-11.1 mg/L; some candidates not produced"
B,curation_conditions,"Novel fusion protein system for nanobody expression",2023,"3 VHHs across 10 host/promoter/compartment conditions","Article and cited source/supplement","Expression yield","mg/L",article_tables,"Check article license and source-sequence reuse",https://pmc.ncbi.nlm.nih.gov/articles/PMC10045489/,"Useful for condition effects; range 0-7.686 mg/L"
C,format_confounded,"Visual secretion platform",2025,"7 fusion constructs","Article and cited source sequences","Expression yield","mg/L",article_table,"CC BY",https://www.mdpi.com/2218-273X/15/1/111,"188-335 mg/L but includes sfGFP and multi-VHH constructs"
N,checked_no_vhh_titer,"FLAb expression collection",2024,"Four expression datasets: 10970 Fab; 94 conventional Fv; 137 conventional antibody; 4276 conventional antibody","Sequences and labels in CSV files","Relative expression or absolute titer depending on source","relative; ug/mL; mg/L",yes,"Repository terms and source-specific licenses apply",https://github.com/Graylab/FLAb/tree/main/data/expression,"No VHH-specific titer dataset found in expression folder"
N,checked_no_titer,ANDD,2025,"48683 antibody/nanobody sequences; 9557 affinity values","Sequence fields in downloadable dataset","Affinity and metadata; no production titer","various affinity units",yes,"CC BY 4.0",https://zenodo.org/records/18151718,"Large adjacent resource"
N,checked_no_titer,"Harvey nanobody polyreactivity",2024,"141021 full VHH sequences","Full VHH sequences","PSR polyreactivity binary label","binary",yes,"Verify dataset card terms",https://huggingface.co/datasets/hugging-science/harvey-nanobody-polyreactivity,"No expression/titer label"
N,checked_no_titer,AVIDa-hIL6,2023,"573891 antigen-VHH pairs","VHH sequences","Binding/non-binding","binary",yes,"Verify source license",https://huggingface.co/datasets/AVIDa-hIL6,"No expression/titer label"
N,checked_no_titer,TNP,2026,"108 nanobodies with in-vitro developability assays","Sequence data for non-proprietary subset","CIC BVP-ELISA HIC AC-SINS DLS and related assays","assay-specific",yes,"See repository license and proprietary-sequence exclusions",https://github.com/oxpig/TNP,"No production-titer assay"
